TimeStep	Transitions	State	FearLevel	HungerLevel	PosX	PosZ
0	0	Hide	20	0	0.1863	-0.1251
1	1	Hide	19	1	0.1863	-0.1251
2	1	Hide	19	1	0.1864	-0.1251
3	1	Hide	19	1	0.1864	-0.1251
4	1	Hide	19	1	0.1864	-0.1251
5	1	Hide	19	1	0.1864	-0.1251
6	1	Hide	19	1	0.1859	-0.1225
7	1	Hide	19	1	0.1854	-0.1200
8	1	Hide	19	1	0.1849	-0.1174
9	1	Hide	19	1	0.1844	-0.1148
10	1	Hide	19	1	0.1840	-0.1122
11	1	Hide	19	1	0.1835	-0.1096
12	1	Hide	19	1	0.1830	-0.1071
13	1	Hide	19	1	0.1825	-0.1045
14	1	Hide	19	1	0.1820	-0.1019
15	1	Hide	19	1	0.1815	-0.0993
16	1	Hide	19	1	0.1810	-0.0968
17	1	Hide	19	1	0.1805	-0.0942
18	1	Hide	19	1	0.1800	-0.0916
19	1	Hide	19	1	0.1795	-0.0890
20	1	Hide	19	1	0.1790	-0.0864
21	1	Hide	19	1	0.1785	-0.0839
22	1	Hide	19	1	0.1780	-0.0813
23	1	Hide	19	1	0.1776	-0.0787
24	1	Hide	19	1	0.1771	-0.0761
25	1	Hide	19	1	0.1766	-0.0736
26	1	Hide	19	1	0.1761	-0.0710
27	1	Hide	19	1	0.1756	-0.0684
28	1	Hide	19	1	0.1751	-0.0658
29	1	Hide	19	1	0.1746	-0.0632
30	1	Hide	19	1	0.1741	-0.0607
31	1	Hide	19	1	0.1736	-0.0581
32	1	Hide	19	1	0.1731	-0.0555
33	1	Hide	19	1	0.1726	-0.0529
34	1	Hide	19	1	0.1721	-0.0503
35	1	Hide	19	1	0.1716	-0.0478
36	1	Hide	19	1	0.1712	-0.0452
37	1	Hide	19	1	0.1707	-0.0426
38	1	Hide	19	1	0.1702	-0.0400
39	1	Hide	19	1	0.1697	-0.0375
40	1	Hide	19	1	0.1692	-0.0349
41	1	Hide	19	1	0.1687	-0.0323
42	1	Hide	19	1	0.1682	-0.0297
